hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: for group('prof') add middlebox('ids') set bandwidth('max', '40', 'mbps')","define intent stnIntent: for group('professors') remove middlebox('firewall') set quota('9', 'gb/wk')",synonym,0,0,"[1.0, 1.0, 0, 0.5339977351212731, 0, 0, 0, 1, 1, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.125') set quota('1', 'gb/wk') block service('stremio'), service('netflix')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.125') set quota('8', 'gb/wk') allow service('youtube'), service('netflix')",negation,1,1,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 1, 1, 0, 0, 6]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.174') add middlebox('ids'), middlebox('dpi'), middlebox('load-balancer'), middlebox('firewall'), middlebox('parental-control') allow traffic('torrent'), protocol('ftp') start timestamp('2019-01-26 17:30:07.334656') end timestamp('2019-01-26 23:20:07.334661')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.183') add middlebox('load-balancer') allow protocol('sftp'), protocol('snmp') start timestamp('2019-01-26 10:52:07.334630') end timestamp('2019-01-26 16:55:07.334648')",time,0,0,"[1.0, 1.0, 0, 1.0, 0, 0.41666666444444445, 0, 1, 0, 1, 0, 0, 5]"
"define intent hypIntent: for group('professor') remove middlebox('parental-control'), middlebox('dpi'), middlebox('firewall'), middlebox('load-balancer'), middlebox('ids') set quota('9', 'gb/wk') block service('youtube'), traffic('social-media')","define intent stnIntent: for group('professors') add middlebox('firewall'), middlebox('parental-control') set quota('5', 'gb/wk') allow protocol('quic'), service('facebook')",synonym,1,1,"[1.0, 1.0, 0.5367762002549679, 0.32668396731546334, 0, 0, 0.10537209537394576, 0, 2, 1, 2, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.51') remove middlebox('dpi'), middlebox('firewall'), middlebox('parental-control') set quota('8', 'gb/wk') block traffic('torrent'), protocol('ftp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.49') add middlebox('dpi'), middlebox('load-balancer'), middlebox('firewall') set quota('9', 'gb/wk') allow traffic('social-media'), service('popcorn-time')",hierarchical,1,1,"[1.0, 1.0, 0, 1.0, 0.424512941502927, 0, 0, 0, 2, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.103') add middlebox('parental-control') set bandwidth('max', '60', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.95') remove middlebox('firewall'), middlebox('dpi') set quota('2', 'gb/wk')",hierarchical,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 1, 1, 0, 1, 5]"
"define intent hypIntent: for group('staff') add middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall'), middlebox('ids') unset quota('5', 'gb/wk') block traffic('peer2peer'), traffic('social-media') start timestamp('2019-01-26 13:59:17.298151') end timestamp('2019-01-26 22:31:17.298156')","define intent stnIntent: for group('staff') remove middlebox('parental-control') unset quota('3', 'gb/wk') allow service('bittorrent'), traffic('streaming') start timestamp('2019-01-26 13:43:17.298116') end timestamp('2019-01-26 23:21:17.298144')",time,1,1,"[1.0, 1.0, 0, 1.0, 0.44733669896031675, 9.533333334722222, 0, 0, 3, 1, 1, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('firewall'), middlebox('parental-control') unset bandwidth('max', '50', 'mbps') block traffic('social-media'), traffic('streaming') start timestamp('2019-01-26 13:57:52.752705') end timestamp('2019-01-26 22:17:52.752710')","define intent stnIntent: for group('dorms') add middlebox('parental-control'), middlebox('ids'), middlebox('firewall') set quota('2', 'gb/wk') allow service('vimeo') start timestamp('2019-01-26 12:56:52.752583') end timestamp('2019-01-26 22:33:52.752695')",time,1,1,"[1.0, 1.0, 0, 1.0, 0, 9.333333334722223, 0, 1, 3, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.17.74') add middlebox('dpi'), middlebox('firewall') set quota('2', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.17.71') add middlebox('dpi'), middlebox('firewall'), middlebox('ids') set quota('2', 'gb/wk')",hierarchical,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.103') remove middlebox('dpi'), middlebox('load-balancer'), middlebox('ids'), middlebox('parental-control'), middlebox('firewall') set quota('2', 'gb/wk') block service('vimeo'), traffic('social-media')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.95') add middlebox('load-balancer'), middlebox('ids'), middlebox('firewall'), middlebox('dpi') set quota('5', 'gb/wk') allow protocol('smtp'), service('instagram')",hierarchical,1,1,"[1.0, 1.0, 0.5698009641620756, 1.0, 0, 0, 0.6819427859876516, 0, 2, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.32.144') remove middlebox('parental-control') set quota('2', 'gb/wk') block service('amazon-prime'), service('stremio')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.32.140') add middlebox('firewall'), middlebox('ids'), middlebox('load-balancer'), middlebox('dpi') set bandwidth('min', '30', 'mbps') block service('vimeo'), service('facebook')",hierarchical,0,0,"[1.0, 1.0, 0.6487288285638457, 1.0, 0, 0, 0.30487228837114916, 1, 1, 1, 0, 1, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('dpi'), middlebox('ids'), middlebox('parental-control') unset bandwidth('min', '70', 'mbps') allow traffic('social-media'), service('popcorn-time') start timestamp('2019-01-26 12:40:27.223601') end timestamp('2019-01-26 23:16:27.223607')","define intent stnIntent: for group('dorms') add middlebox('parental-control'), middlebox('firewall'), middlebox('ids'), middlebox('dpi') set quota('9', 'gb/wk') block service('stremio'), protocol('https') start timestamp('2019-01-26 14:04:27.223570') end timestamp('2019-01-26 22:45:27.223595')",time,1,1,"[1.0, 1.0, 0.4691852799233581, 1.0, 0, 9.683333340277779, 0.30487228837114916, 1, 3, 1, 1, 0, 5]"
