hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: for group('labs') set quota('2', 'gb/wk')","define intent stnIntent: for group('labs') unset quota('5', 'gb/wk')",qos,1,1,"[1, 5, 0, 0, 1, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.108') remove middlebox('parental-control') set quota('9', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.105') add middlebox('dpi') set bandwidth('max', '10', 'mbps')",hierarchical,0,0,"[1, 5, 1, 0, 1, 0, 1, 0.7278747335815952, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.12') remove middlebox('ids'), middlebox('parental-control') set bandwidth('min', '40', 'mbps') block traffic('peer2peer'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('load-balancer'), middlebox('firewall'), middlebox('parental-control'), middlebox('ids') set bandwidth('max', '20', 'mbps') allow service('youtube'), traffic('social-media')",hierarchical,1,0,"[1, 5, 1, 0, 2, 0, 1, 0.620554788894524, 0, 1.0, 0.44733669896031675, 0, 0]"
"define intent hypIntent: for group('labs') set bandwidth('max', '20', 'mbps')","define intent stnIntent: for group('labs') unset bandwidth('max', '70', 'mbps')",qos,1,0,"[1, 5, 1, 0, 1, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('professor') add middlebox('parental-control') set bandwidth('max', '30', 'mbps') block service('stremio'), traffic('streaming')","define intent stnIntent: for group('professors') remove middlebox('load-balancer') set quota('5', 'gb/wk') block protocol('tcp'), protocol('icmp')",synonym,0,0,"[1, 5, 1, 0, 1, 2, 0, 1.0, 0, 0.32668396731546334, 0, 0, 0]"
"define intent hypIntent: for group('labs') remove middlebox('firewall'), middlebox('ids'), middlebox('dpi'), middlebox('parental-control'), middlebox('load-balancer') set bandwidth('max', '10', 'mbps') block service('amazon-prime'), protocol('tcp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.17.76') add middlebox('firewall'), middlebox('load-balancer'), middlebox('ids'), middlebox('parental-control'), middlebox('dpi') set bandwidth('max', '20', 'mbps') allow service('instagram'), traffic('streaming')",domain,0,0,"[1, 3, 1, 0, 2, 0, 0, 0.0, 0.4997795429756144, 0.0, 0, 0, 0.28248267019709405]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.180') remove middlebox('firewall'), middlebox('ids'), middlebox('dpi') set quota('3', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.177') add middlebox('dpi'), middlebox('load-balancer') set quota('6', 'gb/wk')",hierarchical,1,1,"[1, 5, 0, 0, 1, 0, 1, 0.7407029193243677, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('labs') remove middlebox('dpi') block service('vimeo'), service('popcorn-time') start hour('14:27') end hour('17:38')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.43') add middlebox('load-balancer'), middlebox('firewall') allow traffic('peer2peer'), service('popcorn-time') start hour('8:2') end hour('12:16')",time,0,0,"[1, 5, 1, 0, 2, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0.6819427859876516]"
"define intent hypIntent: for group('labs') remove middlebox('firewall'), middlebox('dpi'), middlebox('ids') unset bandwidth('max', '70', 'mbps') start hour('8:56') end hour('19:1')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.37') add middlebox('ids'), middlebox('firewall'), middlebox('parental-control'), middlebox('dpi') unset bandwidth('max', '10', 'mbps') start hour('10:5') end hour('18:45')",time,1,1,"[1, 5, 1, 9.666666666666666, 2, 0, 0, 0.0, 0, 0.0, 0, 0, 0]"
"define intent hypIntent: for group('dorms') remove middlebox('ids'), middlebox('load-balancer'), middlebox('parental-control') set bandwidth('min', '40', 'mbps') allow service('vimeo'), service('youtube')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') add middlebox('firewall') set quota('2', 'gb/wk') block service('amazon-prime'), service('netflix')",negation,0,0,"[1, 5, 1, 0, 2, 0, 0, 0.0, 0.644163727539538, 0.0, 0, 0, 0.37079212932417294]"
