hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.161') remove middlebox('parental-control'), middlebox('ids'), middlebox('dpi') set bandwidth('min', '40', 'mbps') block traffic('peer2peer'), protocol('smtp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.151') add middlebox('dpi'), middlebox('firewall'), middlebox('parental-control'), middlebox('ids'), middlebox('load-balancer') set bandwidth('max', '80', 'mbps') allow traffic('peer2peer'), service('vimeo')",hierarchical,1,1,"[1.0, 1.0, 0, 1.0, 1.0, 0, 0, 1, 2, 1, 0, 1, 5]"
"define intent hypIntent: for group('educatee') add middlebox('ids'), middlebox('dpi') set bandwidth('max', '90', 'mbps') allow service('stremio'), protocol('snmp')","define intent stnIntent: for group('students') remove middlebox('load-balancer') set quota('4', 'gb/wk') allow protocol('quic'), service('bittorrent')",synonym,0,0,"[1.0, 1.0, 0.7955379610609296, 0.3684278280310714, 0, 0, 0.28248267019709405, 1, 1, 1, 1, 0, 5]"
"define intent hypIntent: for group('students') remove middlebox('firewall'), middlebox('ids') set bandwidth('max', '30', 'mbps') block protocol('udp'), service('facebook')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.154') add middlebox('ids'), middlebox('dpi'), middlebox('firewall') set bandwidth('max', '20', 'mbps') allow protocol('smtp'), service('popcorn-time')",domain,0,0,"[0.0, 0.0, 0.29064463620203707, 0.0, 0, 0, 0.30894633570391095, 1, 2, 0, 0, 0, 2]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.21.86') remove middlebox('firewall'), middlebox('ids') set bandwidth('min', '80', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.21.82') add middlebox('parental-control'), middlebox('ids') set bandwidth('max', '30', 'mbps')",hierarchical,1,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 1, 1, 0, 1, 5]"
"define intent hypIntent: for group('staff') remove middlebox('ids'), middlebox('firewall'), middlebox('dpi'), middlebox('parental-control') set bandwidth('max', '60', 'mbps') allow service('popcorn-time'), service('bittorrent') start timestamp('2019-01-25 05:32:39.331424') end timestamp('2019-01-25 13:54:39.331428')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.18') remove middlebox('ids') set bandwidth('max', '20', 'mbps') allow protocol('sftp'), protocol('https') start timestamp('2019-01-25 06:01:39.331401') end timestamp('2019-01-25 14:21:39.331418')",time,1,1,"[0.0, 0.0, 0, 0.0, 0, 8.883333340833332, 0, 1, 0, 1, 0, 0, 5]"
"define intent hypIntent: for group('students') remove middlebox('load-balancer'), middlebox('ids'), middlebox('dpi') set quota('5', 'gb/wk') block protocol('sftp'), service('netflix') start timestamp('2019-01-25 08:15:18.310157') end timestamp('2019-01-25 15:07:18.310162')","define intent stnIntent: for group('dorms') remove middlebox('load-balancer') set quota('1', 'gb/wk') allow traffic('social-media'), service('netflix') start timestamp('2019-01-25 02:19:18.310130') end timestamp('2019-01-25 07:15:18.310151')",non_coreferent,0,0,"[1.0, 1.0, 1.0, 0.818512943684899, 0, 0, 0.28248267019709405, 0, 1, 1, 0, 0, 4]"
"define intent hypIntent: for group('professors') set quota('2', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.36') set quota('6', 'gb/wk')",qos,1,1,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 0, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.32') add middlebox('load-balancer'), middlebox('ids'), middlebox('firewall'), middlebox('parental-control'), middlebox('dpi') set bandwidth('min', '50', 'mbps') block service('stremio'), service('youtube')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.26') add middlebox('ids'), middlebox('load-balancer'), middlebox('firewall') set bandwidth('min', '40', 'mbps') allow service('vimeo'), service('facebook')",hierarchical,0,0,"[1.0, 1.0, 0.5367762002549679, 1.0, 0, 0, 0.6819427859876516, 0, 1, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.173') remove middlebox('firewall'), middlebox('ids'), middlebox('parental-control'), middlebox('dpi'), middlebox('load-balancer') block traffic('torrent'), protocol('smtp') start timestamp('2019-01-25 08:43:48.592259') end timestamp('2019-01-25 13:59:48.592263')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.174') add middlebox('ids'), middlebox('dpi'), middlebox('firewall') allow protocol('tcp'), traffic('torrent') start timestamp('2019-01-25 03:14:48.592220') end timestamp('2019-01-25 07:35:48.592252')",time,0,0,"[1.0, 1.0, 0, 1.0, 1.0, 0, 0, 1, 2, 1, 0, 0, 5]"
"define intent hypIntent: for group('professors') remove middlebox('dpi'), middlebox('ids'), middlebox('load-balancer') set quota('7', 'gb/wk') block traffic('social-media'), protocol('udp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.34') add middlebox('dpi'), middlebox('firewall') set quota('6', 'gb/wk') allow protocol('quic'), service('facebook')",domain,1,1,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 2, 1, 0, 0, 5]"
