hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: for group('research labs') add middlebox('firewall') set bandwidth('min', '50', 'mbps')","define intent stnIntent: for group('labs') remove middlebox('ids'), middlebox('dpi') set quota('4', 'gb/wk')",synonym,0,0,"[1, 5, 1, 0, 1, 1, 0, 1.0, 0, 0.6425167973420612, 0, 0, 0]"
"define intent hypIntent: for group('professors') remove middlebox('firewall') set bandwidth('min', '40', 'mbps') block traffic('peer2peer'), service('bittorrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') add middlebox('firewall'), middlebox('ids'), middlebox('load-balancer'), middlebox('parental-control') set bandwidth('max', '80', 'mbps') allow protocol('icmp'), service('bittorrent')",negation,1,1,"[1, 5, 0, 0, 2, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0.37079212932417294]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.170') add middlebox('firewall'), middlebox('load-balancer'), middlebox('ids'), middlebox('dpi')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.166') add middlebox('firewall'), middlebox('load-balancer'), middlebox('dpi'), middlebox('parental-control')",hierarchical,0,0,"[1, 5, 1, 0, 0, 0, 1, 0.6504402801797328, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('dorms') add middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall'), middlebox('ids') start hour('14:34') end hour('18:31')","define intent stnIntent: for group('dorms') add middlebox('load-balancer'), middlebox('dpi'), middlebox('ids'), middlebox('firewall') start hour('9:15') end hour('12:51')",time,0,0,"[1, 5, 1, 0, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.17.76') set quota('4', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.17.76') unset quota('6', 'gb/wk')",qos,1,1,"[1, 5, 0, 0, 1, 0, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('dormitory') add middlebox('ids') allow service('vimeo'), traffic('social-media')","define intent stnIntent: for group('dorms') remove middlebox('load-balancer') allow service('stremio'), service('youtube')",synonym,0,0,"[1, 5, 1, 0, 1, 2, 0, 1.0, 0.4046704917179062, 0.3935372908539091, 0, 0, 0.19478983913517922]"
"define intent hypIntent: for group('professor') set quota('4', 'gb/wk') block protocol('udp'), traffic('social-media')","define intent stnIntent: for group('professors') set quota('2', 'gb/wk') allow protocol('icmp'), service('instagram')",synonym,1,1,"[1, 5, 0, 0, 1, 2, 0, 1.0, 0, 0.32668396731546334, 0, 0.586649163669679, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.108') set bandwidth('max', '70', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.105') set quota('2', 'gb/wk')",hierarchical,0,0,"[1, 5, 1, 0, 0, 0, 1, 0.7278746847814146, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('dorms') unset bandwidth('min', '60', 'mbps')","define intent stnIntent: for group('dorms') set bandwidth('min', '10', 'mbps')",qos,1,0,"[1, 5, 1, 0, 1, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('professor') remove middlebox('dpi'), middlebox('firewall') block service('amazon-prime'), service('youtube')","define intent stnIntent: for group('professors') add middlebox('firewall'), middlebox('ids'), middlebox('parental-control'), middlebox('load-balancer') allow protocol('smtp'), service('youtube')",synonym,1,1,"[1, 5, 1, 0, 2, 2, 0, 1.0, 1.0, 0.32668396731546334, 0, 0, 0.33729505277183147]"
