dataset,model,k-fold,fit time,validation time,precision,recall,f1
100,svm,1,0.003002166748046875,0.0020818710327148438,0.9166666666666667,0.9166666666666667,0.9090909090909091
100,svm,2,0.0030448436737060547,0.0019910335540771484,0.8571428571428572,0.8333333333333333,0.8166666666666667
100,svm,3,0.0025548934936523438,0.001878976821899414,1.0,1.0,1.0
100,svm,4,0.0029320716857910156,0.0018727779388427734,1.0,1.0,1.0
100,svm,5,0.0031299591064453125,0.001873016357421875,0.9166666666666667,0.9,0.898989898989899
100,svm,6,0.003278970718383789,0.0019948482513427734,0.8,0.8,0.8000000000000002
100,svm,7,0.003314971923828125,0.001970052719116211,0.8571428571428572,0.8,0.7916666666666665
100,svm,8,0.0033011436462402344,0.0020368099212646484,0.8571428571428572,0.8,0.7916666666666665
100,svm,9,0.0032939910888671875,0.0018761157989501953,0.8571428571428572,0.75,0.75
100,svm,10,0.0025420188903808594,0.0017991065979003906,0.9166666666666667,0.875,0.8831168831168831
100,log,1,0.006602048873901367,0.0020771026611328125,0.9166666666666667,0.9166666666666667,0.9090909090909091
100,log,2,0.0062830448150634766,0.0019948482513427734,0.8571428571428572,0.8333333333333333,0.8166666666666667
100,log,3,0.0062999725341796875,0.0019922256469726562,0.8,0.8,0.8000000000000002
100,log,4,0.0061740875244140625,0.001974821090698242,1.0,1.0,1.0
100,log,5,0.006438016891479492,0.001990079879760742,0.9166666666666667,0.9,0.898989898989899
100,log,6,0.0067441463470458984,0.0019960403442382812,0.8,0.8,0.8000000000000002
100,log,7,0.005733966827392578,0.0019788742065429688,0.8571428571428572,0.8,0.7916666666666665
100,log,8,0.006288051605224609,0.001992940902709961,0.8571428571428572,0.8,0.7916666666666665
100,log,9,0.006730794906616211,0.0019609928131103516,0.6666666666666666,0.65,0.6493506493506493
100,log,10,0.006311893463134766,0.0019690990447998047,0.775,0.775,0.7750000000000001
100,forest,1,0.01775503158569336,0.004336118698120117,0.9166666666666667,0.9166666666666667,0.9090909090909091
100,forest,2,0.01702404022216797,0.0042400360107421875,0.8571428571428572,0.8333333333333333,0.8166666666666667
100,forest,3,0.017060041427612305,0.004106998443603516,0.9166666666666667,0.9,0.898989898989899
100,forest,4,0.0167391300201416,0.004099845886230469,1.0,1.0,1.0
100,forest,5,0.01690196990966797,0.004199981689453125,0.9166666666666667,0.9,0.898989898989899
100,forest,6,0.016849994659423828,0.004127979278564453,0.8571428571428572,0.8,0.7916666666666665
100,forest,7,0.016492128372192383,0.0041048526763916016,0.8571428571428572,0.8,0.7916666666666665
100,forest,8,0.01607990264892578,0.004040956497192383,0.8571428571428572,0.8,0.7916666666666665
100,forest,9,0.016583919525146484,0.004007101058959961,0.9166666666666667,0.875,0.8831168831168831
100,forest,10,0.016366958618164062,0.003940105438232422,0.9166666666666667,0.875,0.8831168831168831
500,svm,1,0.01669907569885254,0.002640962600708008,0.7959677419354838,0.7823076923076924,0.7812865497076025
500,svm,2,0.011136054992675781,0.0036330223083496094,0.9193548387096775,0.9,0.9005847953216375
500,svm,3,0.009731769561767578,0.0024471282958984375,0.7484326018808778,0.7438461538461538,0.7435203094777563
500,svm,4,0.008718013763427734,0.002440929412841797,0.9058441558441559,0.8999999999999999,0.8996386993175431
500,svm,5,0.011294126510620117,0.0023849010467529297,0.7916666666666666,0.78,0.7777777777777779
500,svm,6,0.012884855270385742,0.002496004104614258,0.8605769230769231,0.86,0.8599439775910365
500,svm,7,0.014488935470581055,0.0023751258850097656,0.7435064935064934,0.74,0.7390606182256123
500,svm,8,0.008836984634399414,0.0023550987243652344,0.771505376344086,0.7525,0.75
500,svm,9,0.012639999389648438,0.0024080276489257812,0.8775,0.8775,0.8775
500,svm,10,0.008976936340332031,0.0023660659790039062,0.8043103448275861,0.7941666666666667,0.7937710437710437
500,log,1,0.012843847274780273,0.0025551319122314453,0.8238461538461539,0.8238461538461539,0.8235294117647058
500,log,2,0.01291799545288086,0.0024809837341308594,0.9482758620689655,0.94,0.9408123791102514
500,log,3,0.012774944305419922,0.0023589134216308594,0.7453846153846153,0.7453846153846153,0.7450980392156863
500,log,4,0.011692047119140625,0.002319812774658203,0.92,0.92,0.92
500,log,5,0.012569904327392578,0.0023381710052490234,0.8205128205128205,0.8200000000000001,0.8199279711884755
500,log,6,0.011777877807617188,0.002332925796508789,0.9227053140096618,0.9199999999999999,0.9198717948717948
500,log,7,0.011519908905029297,0.0023381710052490234,0.76,0.76,0.76
500,log,8,0.011640787124633789,0.0023190975189208984,0.7620689655172415,0.7533333333333333,0.7525252525252524
500,log,9,0.01193094253540039,0.0023229122161865234,0.939799331103679,0.9383333333333332,0.9386733416770963
500,log,10,0.011759042739868164,0.00232696533203125,0.7275985663082437,0.7116666666666667,0.7083333333333333
500,forest,1,0.022012948989868164,0.005088090896606445,0.8449074074074074,0.8438461538461539,0.8430769230769231
500,forest,2,0.020453929901123047,0.004542112350463867,0.9482758620689655,0.94,0.9408123791102514
500,forest,3,0.02060103416442871,0.004352092742919922,0.8240740740740741,0.823076923076923,0.823257604928764
500,forest,4,0.019870996475219727,0.004675865173339844,0.7916666666666666,0.78,0.7777777777777779
500,forest,5,0.021209001541137695,0.004400014877319336,0.7840909090909092,0.78,0.779205138498595
500,forest,6,0.019943952560424805,0.0043621063232421875,0.8824476650563606,0.88,0.8798076923076923
500,forest,7,0.02012801170349121,0.00433802604675293,0.8019323671497585,0.8,0.7996794871794872
500,forest,8,0.020701885223388672,0.0047512054443359375,0.7797619047619048,0.7741666666666667,0.7740041928721175
500,forest,9,0.020570039749145508,0.004488945007324219,0.9183333333333333,0.9183333333333333,0.9183333333333333
500,forest,10,0.020087003707885742,0.004676103591918945,0.8043103448275861,0.7941666666666667,0.7937710437710437
1000,svm,1,0.04123711585998535,0.0046579837799072266,0.8061507936507937,0.8025490196078431,0.8014937106918238
1000,svm,2,0.03082418441772461,0.004186868667602539,0.8205128205128205,0.8200000000000001,0.8199279711884755
1000,svm,3,0.0411839485168457,0.004197120666503906,0.8489326765188834,0.8400000000000001,0.8389694041867956
1000,svm,4,0.03981304168701172,0.004091978073120117,0.7416981925178646,0.73,0.7266929851199515
1000,svm,5,0.027556896209716797,0.004001140594482422,0.8652597402597402,0.8600000000000001,0.8594941790445605
1000,svm,6,0.03153276443481445,0.004008054733276367,0.7121212121212122,0.71,0.7092731829573935
1000,svm,7,0.03137707710266113,0.003847837448120117,0.8333333333333334,0.8200000000000001,0.8181818181818181
1000,svm,8,0.033715009689331055,0.003958940505981445,0.7627154266498528,0.75,0.7469379491851402
1000,svm,9,0.032974958419799805,0.004202842712402344,0.8694581280788177,0.86,0.8590982286634461
1000,svm,10,0.028651952743530273,0.0038268566131591797,0.8722222222222222,0.8691836734693877,0.8684721512519162
1000,log,1,0.02862405776977539,0.003134012222290039,0.8525943396226415,0.851764705882353,0.8514268902618417
1000,log,2,0.018705129623413086,0.0027790069580078125,0.84,0.84,0.8399999999999999
1000,log,3,0.018166065216064453,0.002768993377685547,0.8501400560224089,0.85,0.84998499849985
1000,log,4,0.017567873001098633,0.002760171890258789,0.8019323671497585,0.8,0.7996794871794872
1000,log,5,0.022301197052001953,0.002749919891357422,0.8713368125250903,0.87,0.8698828946051447
1000,log,6,0.018568038940429688,0.0027718544006347656,0.7753977968176254,0.77,0.7688674505074867
1000,log,7,0.01981210708618164,0.002750873565673828,0.8489326765188834,0.8400000000000001,0.8389694041867956
1000,log,8,0.01885700225830078,0.0027539730072021484,0.8161974704202366,0.81,0.8090644156366193
1000,log,9,0.018751859664916992,0.002759218215942383,0.89015606242497,0.89,0.88998899889989
1000,log,10,0.01984715461730957,0.002750873565673828,0.890139116202946,0.8891836734693878,0.8888435235276104
