text,recognized_entities,expected_entities,training_time,recall,precision,f1_score
"Please, block netflix traffic on PUC","@operation,@service,@target,","@operation,@service,@target,",0.9826700687408447,1.0,1.0,1.0
Grant SFTP access to all students from 08:00 to 17:00,"@end,@start,@operation,@protocol,@target,","@operation,@protocol,@target,@start,@end,",0.9826700687408447,1.0,1.0,1.0
Let students access Facebook,"@service,@target,@operation,","@operation,@target,@service,",0.9826700687408447,1.0,1.0,1.0
Do no let students access Netflix from the laboratories to the internet,"@service,@destination,@target,@origin,@qos_constraint,@qos_metric,","@operation,@target,@service,@origin,@destination,",0.9826700687408447,0.8,0.6666666666666666,0.7272727272727272
Between internet and servers limit traffic to 5Gbps interval 4pm to 7pm,"@traffic,@qos_value,@destination,@origin,@qos_constraint,@qos_unit,@end,@start,","@origin,@destination,@qos_constraint,@traffic,@qos_value,@qos_unit,@start,@end,",0.9826700687408447,1.0,1.0,1.0
students should download no more than 10 GB of data in a week,"@qos_value,@target,@qos_constraint,@qos_unit,@qos_metric,","@target,@qos_constraint,@qos_metric,@qos_value,@qos_unit,",0.9826700687408447,1.0,1.0,1.0
Students should not use more than five gigabytes of bandwidth per week,"@qos_metric,@qos_value,@target,@qos_unit,","@target,@qos_metric,@qos_value,@qos_unit,",0.9826700687408447,1.0,1.0,1.0
set a 10 GB per week download quota for students in dorms,"@qos_metric,@operation,@qos_value,@target,@qos_constraint,@qos_unit,","@operation,@qos_value,@qos_unit,@qos_constraint,@qos_metric,@target,@target,",0.9826700687408447,1.0,1.0,1.0
Students can download up to 10 GB per week of data.,"@qos_value,@target,@qos_constraint,@qos_unit,@qos_metric,","@target,@qos_constraint,@qos_value,@qos_unit,@qos_metric,",0.9826700687408447,1.0,1.0,1.0
Remove nat for gateway everyday from 18:00 to midnight,"@middlebox,@start,@operation,@target,@end,","@operation,@middlebox,@target,@start,@end,",0.9826700687408447,1.0,1.0,1.0
limit torrent traffic for guests to 100 Mbps,"@traffic,@qos_value,@target,@qos_constraint,@qos_unit,","@qos_constraint,@traffic,@target,@qos_value,@qos_unit,",0.9826700687408447,1.0,1.0,1.0
Please allow social media for the HR department,"@traffic,@operation,@target,","@operation,@traffic,@target,",0.9826700687408447,1.0,1.0,1.0
allow all traffic,"@traffic,@operation,","@operation,@traffic,",0.9826700687408447,1.0,1.0,1.0
limit the bandwidth in server racks to 5gbps between 4pm and 7pm,"@qos_constraint,@qos_unit,@end,@start,@qos_metric,@qos_value,@target,","@qos_constraint,@qos_metric,@target,@qos_value,@qos_unit,@start,@end,",0.9826700687408447,1.0,1.0,1.0
Limit traffic to 10 GB per week at Dorms,"@traffic,@qos_value,@target,@qos_constraint,@qos_unit,","@qos_constraint,@traffic,@qos_value,@qos_unit,@target,",0.9826700687408447,1.0,1.0,1.0
Students cannot run file servers,"@operation,@service,@target,","@target,@operation,@service,",0.9826700687408447,1.0,1.0,1.0
set quota to 10 GB per week at LAN,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",0.9826700687408447,1.0,1.0,1.0
put a download quota for students of 10 gb per week,"@qos_metric,@operation,@qos_value,@target,@qos_constraint,@qos_unit,","@qos_constraint,@qos_metric,@target,@qos_value,@qos_unit,",0.9826700687408447,1.0,0.8333333333333334,0.9090909090909091
Block bittorrent for professors,"@operation,@service,@target,","@operation,@service,@target,",0.9826700687408447,1.0,1.0,1.0
Prioritize Netflix traffic from 18:00 to midnight,"@service,@end,@middlebox,@start,","@middlebox,@service,@start,@end,",0.9826700687408447,1.0,1.0,1.0
Set 5gbps limit for servers during 4pm to 7pm,"@qos_unit,@end,@start,@qos_metric,@operation,@qos_value,@target,","@operation,@qos_value,@qos_unit,@qos_constraint,@target,@start,@end,",0.9826700687408447,0.8571428571428571,0.8571428571428571,0.8571428571428571
limit traffic to 5Gbps  Between internet and servers for 16:00 to 19:00,"@traffic,@qos_value,@destination,@origin,@qos_constraint,@qos_unit,@end,@start,","@qos_constraint,@traffic,@qos_value,@qos_unit,@origin,@destination,@start,@end,",0.9826700687408447,1.0,1.0,1.0
Block all traffic from HR to the backend servers,"@traffic,@operation,@destination,@origin,","@operation,@traffic,@origin,@destination,",0.9826700687408447,1.0,1.0,1.0
All traffic from the Internet to the Labs has to go to DPI server and then goes to the Labs,"@middlebox,@traffic,@protocol,@destination,@origin,","@traffic,@origin,@destination,@middlebox,",0.9826700687408447,1.0,0.8,0.888888888888889
"please lumi, block f2movies traffic from internet to students labs","@operation,@service,@target,@origin,","@operation,@service,@origin,@target,@target,",0.9826700687408447,1.0,1.0,1.0
Block F2movies traffic from Internet to Labs,"@operation,@service,@destination,@origin,","@operation,@service,@origin,@destination,",0.9826700687408447,1.0,1.0,1.0
Set quota to 10 GB per week dorms,"@operation,@qos_value,@qos_unit,@qos_metric,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",0.9826700687408447,0.8,1.0,0.888888888888889
set a maximum of 5 gbps to the servers from 4pm to 7pm,"@start,@operation,@qos_value,@destination,@qos_constraint,@qos_unit,@end,","@operation,@qos_constraint,@qos_value,@qos_unit,@destination,@start,@end,",0.9826700687408447,1.0,1.0,1.0
Remove load balancing from gateway to database,"@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",0.9826700687408447,1.0,1.0,1.0
Students shall download no more than 1000000 megabytes per week,"@qos_metric,@qos_value,@qos_constraint,@qos_unit,","@group,@qos_constraint,@qos_metric,@qos_value,@qos_unit,",0.9826700687408447,0.8,1.0,0.888888888888889
From internet to Labs add DPI,"@operation,@destination,@origin,@middlebox,","@origin,@destination,@operation,@middlebox,",0.9826700687408447,1.0,1.0,1.0
Add monitor for the university from 4am to 10pm,"@target,@end,@middlebox,@start,@operation,","@operation,@middlebox,@target,@start,@end,",0.9826700687408447,1.0,1.0,1.0
Forward all the external traffic to DMZ,"@target,@operation,@target,@target,","@operation,@origin,@destination,",0.9826700687408447,0.3333333333333333,0.5,0.4
