text,recognized_entities,expected_entities,training_time,recall,precision,f1_score
set torrent traffic from guests to 100 mbps,"@traffic,@operation,@qos_value,@target,@qos_unit,","@operation,@traffic,@target,@qos_value,@qos_unit,",1.2627251148223877,1.0,1.0,1.0
Add monitor for the university from 04:00 to 22:00,"@end,@middlebox,@start,@target,","@middlebox,@target,@start,@end,",1.2627251148223877,1.0,1.0,1.0
FTP and SFTP servers are allowed by the University firewall,"@target,@middlebox,@operation,@protocol,@protocol,@service,","@protocol,@protocol,@operation,@target,@middlebox,",1.2627251148223877,1.0,0.8,0.888888888888889
limit traffic to 5Gbps  Between internet and servers for 16:00 to 19:00,"@destination,@origin,@qos_constraint,@qos_unit,@end,@start,@traffic,@qos_value,","@qos_constraint,@traffic,@qos_value,@qos_unit,@origin,@destination,@start,@end,",1.2627251148223877,1.0,1.0,1.0
All network traffic passing in or out of Brown's network is monitored by intrusion detection system for signs of compromises,"@middlebox,","@target,@middlebox,",1.2627251148223877,0.5,1.0,0.6666666666666666
Between internet and servers limit traffic to 5Gbps interval 4pm to 7pm,"@traffic,@qos_value,@destination,@origin,@qos_constraint,@qos_unit,@end,@start,","@origin,@destination,@qos_constraint,@traffic,@qos_value,@qos_unit,@start,@end,",1.2627251148223877,1.0,1.0,1.0
social media traffic must not be blocked,"@traffic,@traffic,@operation,","@traffic,@operation,",1.2627251148223877,1.0,1.0,1.0
Everquest is blocked by the University firewall,"@middlebox,@operation,@service,@target,","@service,@operation,@target,@middlebox,",1.2627251148223877,1.0,1.0,1.0
Block F2movies traffic from Internet to Labs,"@operation,@service,@destination,@origin,","@operation,@service,@origin,@destination,",1.2627251148223877,1.0,1.0,1.0
SMTP is allowed by the University firewall,"@target,@middlebox,@operation,@protocol,","@protocol,@operation,@target,@middlebox,",1.2627251148223877,1.0,1.0,1.0
"Hey Lumi, add DPI to the labs network","@operation,@target,@middlebox,","@operation,@middlebox,@target,",1.2627251148223877,1.0,1.0,1.0
block F2movies traffic for students in the labs,"@operation,@service,@target,@target,","@operation,@service,@target,@target,",1.2627251148223877,1.0,1.0,1.0
Routers or anything else that does routing or NAT are prohibited from MITNet as they interfere with the operation of the network,"@operation,@protocol,@target,","@protocol,@operation,@target,",1.2627251148223877,1.0,1.0,1.0
Balance traffic coming from gateway to application servers,"@middlebox,@destination,@origin,","@middlebox,@origin,@destination,",1.2627251148223877,1.0,1.0,1.0
Students 10 GB a day download quotas are on 10 AM to Midnight,"@qos_metric,@start,@qos_value,@target,@qos_constraint,@qos_unit,@end,","@target,@qos_value,@qos_unit,@qos_constraint,@qos_metric,@start,@end,",1.2627251148223877,1.0,1.0,1.0
The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"@middlebox,@qos_metric,@qos_metric,@qos_value,@target,@qos_unit,","@target,@middlebox,@qos_metric,@qos_metric,@qos_value,@qos_unit,",1.2627251148223877,1.0,1.0,1.0
POP3 and secure POP are allowed by the University firewall,"@operation,@protocol,@protocol,@target,@middlebox,","@protocol,@protocol,@operation,@target,@middlebox,",1.2627251148223877,1.0,1.0,1.0
Limit students in the dorm to 10 GB per week,"@qos_value,@target,@target,@qos_constraint,@qos_unit,","@qos_constraint,@target,@target,@qos_value,@qos_unit,",1.2627251148223877,1.0,1.0,1.0
please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM  to 7PM,"@qos_value,@target,@qos_constraint,@qos_unit,@end,@qos_metric,@start,","@qos_constraint,@qos_metric,@qos_value,@qos_unit,@target,@start,@end,",1.2627251148223877,1.0,1.0,1.0
Do no let students access Netflix from the laboratories to the internet,"@operation,@service,@destination,@target,@origin,","@operation,@target,@service,@origin,@destination,",1.2627251148223877,1.0,1.0,1.0
ensure that all traffic from the Internet to the labs is carefully inspected by the Deep Packet Inspection middlebox,"@destination,@origin,@middlebox,@traffic,","@traffic,@origin,@destination,@middlebox,",1.2627251148223877,1.0,1.0,1.0
Students can download up to 10 GB per week of data.,"@qos_metric,@qos_value,@target,@qos_constraint,@qos_unit,","@target,@qos_constraint,@qos_value,@qos_unit,@qos_metric,",1.2627251148223877,1.0,1.0,1.0
Set to 1 Gbps bandwidth limit for the traffic to DMZ,"@destination,@qos_constraint,@qos_unit,@qos_metric,@operation,@qos_value,","@operation,@qos_value,@qos_unit,@qos_metric,@qos_constraint,@destination,",1.2627251148223877,1.0,1.0,1.0
Block streaming and gaming traffic in classrooms,"@traffic,@traffic,@operation,@target,","@operation,@traffic,@traffic,@target,",1.2627251148223877,1.0,1.0,1.0
Please allow social media for the HR department,"@traffic,@operation,@target,","@operation,@traffic,@target,",1.2627251148223877,1.0,1.0,1.0
unblock traffic,"@traffic,@operation,","@operation,@traffic,",1.2627251148223877,1.0,1.0,1.0
forward traffic for labs through the dpi,"@middlebox,@traffic,@operation,@target,","@operation,@traffic,@target,@middlebox,",1.2627251148223877,1.0,1.0,1.0
Lumi monitors the network traffic,"@target,@middlebox,","@middlebox,@target,",1.2627251148223877,1.0,1.0,1.0
Sorenson Videophone 200 is allowed by the University firewall,"@middlebox,@operation,@service,@target,","@service,@operation,@target,@middlebox,",1.2627251148223877,1.0,1.0,1.0
Block bittorrent for professors,"@operation,@service,@target,","@operation,@service,@target,",1.2627251148223877,1.0,1.0,1.0
make sure all traffic to server racks is throttled to 1 gbps from 4pm to 9pm,"@start,@traffic,@qos_value,@destination,@qos_constraint,@qos_unit,@end,","@traffic,@destination,@qos_constraint,@qos_value,@qos_unit,@start,@end,",1.2627251148223877,1.0,1.0,1.0
"The UVA More Secure Network uses a firewall, a network security device designed to help protect your computer from hackers and other malicious people on the Internet.","@service,@middlebox,@middlebox,@middlebox,@qos_metric,@operation,@protocol,","@target,@operation,@middlebox,",1.2627251148223877,0.6666666666666666,0.4,0.5
The individual will have a 4 Mbps bandwidth rate limit,"@qos_value,@target,@qos_unit,@qos_metric,@operation,","@target,@operation,@qos_value,@qos_unit,@qos_metric,",1.2627251148223877,1.0,1.0,1.0
Permit gaming for PS4 from 13:00 to 18:00,"@target,@end,@start,@traffic,@operation,","@operation,@traffic,@target,@start,@end,",1.2627251148223877,1.0,1.0,1.0
"Please, Lumi, block Youtube and all other streaming traffic","@service,@traffic,@operation,","@operation,@service,@traffic,",1.2627251148223877,1.0,1.0,1.0
"There is a 6 GB per 24-hour period upload or download data transfer limit starting at midnight of each day, on all of your combined traffic on ResNet and UIC wireless","@qos_unit,@start,@qos_metric,@qos_value,@qos_constraint,@qos_constraint,","@qos_value,@qos_unit,@qos_constraint,@qos_constraint,@qos_metric,@start,@target,@target,",1.2627251148223877,0.8333333333333334,1.0,0.9090909090909091
"Lumi, set to 10 kbps the upload rate for faculty","@target,@qos_unit,@qos_metric,@operation,@qos_value,","@operation,@qos_value,@qos_unit,@qos_metric,@target,",1.2627251148223877,1.0,1.0,1.0
inspect all internet traffic,"@middlebox,@traffic,","@middlebox,@traffic,@target,",1.2627251148223877,0.6666666666666666,1.0,0.8
Add inspection for the university from 22:00 to 12:00,"@start,@operation,@target,@end,@middlebox,","@operation,@middlebox,@target,@start,@end,",1.2627251148223877,1.0,1.0,1.0
"You may not run any services (e.g., FTP services,listservers,P2P file sharing servers, publishing files via generic file services, etc.) via ResNet or NYURoam wireless networks","@traffic,@operation,@protocol,@service,@target,","@operation,@protocol,@service,@traffic,@target,@target,",1.2627251148223877,1.0,1.0,1.0
We provide a data plan quota for all staff of 10 GB per day,"@operation,@qos_value,@target,@qos_unit,@qos_metric,","@operation,@qos_metric,@target,@qos_value,@qos_unit,",1.2627251148223877,1.0,1.0,1.0
set quota to 10 GB per week at LAN,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",1.2627251148223877,1.0,1.0,1.0
We provide a quota to all students of 1 GB/wk of usage.,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@qos_metric,@target,@qos_value,@qos_unit,",1.2627251148223877,1.0,0.8,0.888888888888889
Block traffic from netflix,"@operation,@target,","@operation,@target,",1.2627251148223877,1.0,1.0,1.0
All traffic from the Internet to the Labs has to go to DPI server and then goes to the Labs,"@destination,@origin,@middlebox,@traffic,","@traffic,@origin,@destination,@middlebox,",1.2627251148223877,1.0,1.0,1.0
Add traffic monitor from PUC to UFRGS,"@destination,@origin,@middlebox,@operation,","@operation,@middlebox,@origin,@destination,",1.2627251148223877,1.0,1.0,1.0
block all student traffic in the network,"@target,@target,@traffic,@operation,","@operation,@target,@traffic,@target,",1.2627251148223877,1.0,1.0,1.0
Internet is limited to 3 Mbps per host,"@qos_value,@qos_constraint,@qos_constraint,@qos_unit,","@qos_metric,@qos_value,@qos_unit,@target,",1.2627251148223877,0.5,0.6666666666666666,0.5714285714285715
limit to 100 Mbps the bandwidth torrent traffic can consume,"@traffic,@qos_value,@target,@qos_constraint,@qos_unit,","@qos_constraint,@qos_value,@qos_unit,@qos_metric,@traffic,",1.2627251148223877,0.8,0.8,0.8000000000000002
Set quota to 10 GB per week at dorms,"@qos_unit,@qos_metric,@operation,@qos_value,@target,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",1.2627251148223877,1.0,1.0,1.0
Mean Precision,0.9693333333333333
Mean Recall,0.9593333333333334
Mean F1,0.9643074086876369
