text,recognized_entities,expected_entities,training_time,recall,precision,f1_score
Guests' network is rate-limited to 5 Mb/s per user,"@qos_metric,@qos_value,@target,@qos_unit,","@target,@qos_metric,@qos_value,@qos_unit,",0.9851388931274414,1.0,1.0,1.0
Add DPI middlebox into all traffic from Internet to the Labs,"@destination,@origin,@middlebox,@traffic,@operation,","@operation,@middlebox,@traffic,@origin,@destination,",0.9851388931274414,1.0,1.0,1.0
Set 5gbps limit for servers during 4pm to 7pm,"@target,@qos_unit,@end,@start,@qos_metric,@operation,@qos_value,","@operation,@qos_value,@qos_unit,@qos_constraint,@target,@start,@end,",0.9851388931274414,0.8571428571428571,0.8571428571428571,0.8571428571428571
block facebook,"@operation,@service,","@operation,@service,",0.9851388931274414,1.0,1.0,1.0
Add monitor for the university from 4am to 10pm,"@end,@middlebox,@start,@operation,@target,","@operation,@middlebox,@target,@start,@end,",0.9851388931274414,1.0,1.0,1.0
Everquest is blocked by the University firewall,"@operation,@service,@target,@middlebox,","@service,@operation,@target,@middlebox,",0.9851388931274414,1.0,1.0,1.0
"Lumi, setup a TCP accelerator between LAN and video server","@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",0.9851388931274414,1.0,1.0,1.0
Battlenet is allowed by the University firewall,"@operation,@service,@target,@middlebox,","@service,@operation,@target,@middlebox,",0.9851388931274414,1.0,1.0,1.0
Limit bandwidth usage to 50 mbps for professors.,"@target,@qos_constraint,@qos_unit,@qos_metric,@qos_value,","@qos_constraint,@qos_metric,@qos_value,@qos_unit,@target,",0.9851388931274414,1.0,1.0,1.0
"Lumi, block VoIP traffic from 00:00 to 06:00","@start,@traffic,@operation,@end,","@operation,@traffic,@start,@end,",0.9851388931274414,1.0,1.0,1.0
From internet to Labs add DPI,"@middlebox,@operation,@destination,@origin,","@origin,@destination,@operation,@middlebox,",0.9851388931274414,1.0,1.0,1.0
allow all traffic,"@traffic,@operation,","@operation,@traffic,",0.9851388931274414,1.0,1.0,1.0
Students 10 GB a day download quotas are on 10 AM to Midnight,"@start,@qos_metric,@qos_value,@target,@qos_constraint,@qos_unit,@end,","@target,@qos_value,@qos_unit,@qos_constraint,@qos_metric,@start,@end,",0.9851388931274414,1.0,1.0,1.0
