text,recognized_entities,expected_entities,training_time,recall,precision,f1_score
Add intrusion detection and address translation for servers network,"@middlebox,@middlebox,@operation,@target,","@operation,@middlebox,@middlebox,@target,",1.02435302734375,1.0,1.0,1.0
"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network","@traffic,@operation,@target,","@origin,@operation,@target,@traffic,@destination,",1.02435302734375,0.6,1.0,0.7499999999999999
"Lumi, prohibit access to internal campus computers from the internet","@operation,@origin,","@operation,@destination,@origin,",1.02435302734375,0.6666666666666666,1.0,0.8
From internet to Labs block F2movies,"@operation,@service,@destination,@origin,","@origin,@destination,@operation,@service,",1.02435302734375,1.0,1.0,1.0
Forward all the external traffic to DMZ,"@target,@traffic,@target,@operation,","@operation,@origin,@destination,",1.02435302734375,0.3333333333333333,0.3333333333333333,0.3333333333333333
IMAP and secure IMAP are allowed by the University firewall,"@middlebox,@operation,@protocol,@protocol,@target,","@protocol,@protocol,@operation,@target,@middlebox,",1.02435302734375,1.0,1.0,1.0
Sony Playstation 2 is allowed by the University firewall,"@service,@target,@middlebox,@operation,","@service,@operation,@target,@middlebox,",1.02435302734375,1.0,1.0,1.0
Allow access from computers to DMZ,"@operation,@destination,@origin,","@operation,@origin,@destination,",1.02435302734375,1.0,1.0,1.0
"There is a 6 GB per 24-hour period upload or download data transfer limit starting at midnight of each day, on all of your combined traffic on ResNet and UIC wireless","@qos_value,@qos_constraint,@qos_constraint,@qos_unit,@start,@qos_metric,","@qos_value,@qos_unit,@qos_constraint,@qos_constraint,@qos_metric,@start,@target,@target,",1.02435302734375,0.8333333333333334,1.0,0.9090909090909091
Housing does not normally limit the amount of bandwidth,"@qos_metric,@operation,","@target,@operation,@qos_metric,",1.02435302734375,0.6666666666666666,1.0,0.8
"Please, allow Skype for all users","@operation,@service,@target,","@operation,@service,@target,",1.02435302734375,1.0,1.0,1.0
"Lumi, block SIP traffic from 19:00 to 08:00 for dorms","@operation,@protocol,@target,@end,@start,","@operation,@protocol,@start,@end,@target,",1.02435302734375,1.0,1.0,1.0
Block all traffic from HR to the backend servers,"@destination,@origin,@traffic,@operation,","@operation,@traffic,@origin,@destination,",1.02435302734375,1.0,1.0,1.0
Students should not use more than five gigabytes of bandwidth per week,"@qos_unit,@qos_metric,@qos_value,@target,","@target,@qos_metric,@qos_value,@qos_unit,",1.02435302734375,1.0,1.0,1.0
Net2Phone is allowed by the University firewall,"@service,@target,@middlebox,@operation,","@service,@operation,@target,@middlebox,",1.02435302734375,1.0,1.0,1.0
Add traffic monitor from PUC to UFRGS,"@destination,@origin,@middlebox,@operation,","@operation,@middlebox,@origin,@destination,",1.02435302734375,1.0,1.0,1.0
Limit rack servers to 5gbps during 5pm to 7pm,"@qos_value,@qos_constraint,@qos_unit,@end,@start,","@qos_constraint,@target,@qos_value,@qos_unit,@start,@end,",1.02435302734375,0.8333333333333334,1.0,0.9090909090909091
Do not let Staff members access any social media,"@traffic,@operation,@target,","@operation,@target,@traffic,",1.02435302734375,1.0,1.0,1.0
SSH is allowed by the University firewall,"@middlebox,@operation,@protocol,@target,","@protocol,@operation,@target,@middlebox,",1.02435302734375,1.0,1.0,1.0
All traffic from the Internet to the Labs has to go to DPI server and then goes to the Labs,"@traffic,@service,@service,@destination,@origin,","@traffic,@origin,@destination,@middlebox,",1.02435302734375,0.75,0.75,0.75
add dpi to labs network,"@operation,@target,@middlebox,","@operation,@middlebox,@destination,@target,",1.02435302734375,0.75,1.0,0.8571428571428571
"Lumi, set to 10 kbps the upload rate for faculty","@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_value,@qos_unit,@qos_metric,@target,",1.02435302734375,1.0,1.0,1.0
Balance traffic coming from gateway to application servers,"@destination,@origin,@middlebox,","@middlebox,@origin,@destination,",1.02435302734375,1.0,1.0,1.0
Guests' network is rate-limited to 5 Mb/s per user,"@qos_value,@target,@qos_unit,@qos_metric,","@target,@qos_metric,@qos_value,@qos_unit,",1.02435302734375,1.0,1.0,1.0
H323 video conferencing is allowed by the University firewall,"@operation,@service,@target,@middlebox,","@service,@operation,@target,@middlebox,",1.02435302734375,1.0,1.0,1.0
"Lumi, setup a TCP accelerator between LAN and video server","@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",1.02435302734375,1.0,1.0,1.0
add security from entry to backend,"@destination,@origin,@middlebox,@operation,","@operation,@middlebox,@origin,@destination,",1.02435302734375,1.0,1.0,1.0
"hey lumi, please allow traffic only from professors","@traffic,@operation,@target,","@operation,@traffic,@target,",1.02435302734375,1.0,1.0,1.0
At endpoint Dorms set quota to 10 GB per week,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@target,@operation,@qos_metric,@qos_value,@qos_unit,",1.02435302734375,1.0,1.0,1.0
limit to 100 Mbps the bandwidth torrent traffic can consume,"@qos_metric,@traffic,@qos_value,@qos_constraint,@qos_unit,","@qos_constraint,@qos_value,@qos_unit,@qos_metric,@traffic,",1.02435302734375,1.0,1.0,1.0
Lumi monitors the network traffic,"@target,@middlebox,","@middlebox,@target,",1.02435302734375,1.0,1.0,1.0
block all student traffic in the network,"@traffic,@operation,@target,@target,","@operation,@target,@traffic,@target,",1.02435302734375,1.0,1.0,1.0
